name,location
桂桥路,"121.634885,31.252828"
申江路,"121.626863,31.280231"
张江路,"121.629182,31.189130"
淞滨路,"121.492818,31.370928"
中春路,"121.337700,31.149415"
莘庄,"121.385373,31.111152"
宝安公路,"121.430914,31.369555"
秀沿路,"121.598390,31.138128"
海天三路,"121.796878,31.168459"
周浦,"121.567615,31.113958"
南翔,"121.323141,31.296952"
高桥,"121.564390,31.352704"
金海路,"121.638629,31.263141"
航津路,"121.593974,31.335371"
曙建路,"121.417177,31.091809"
港城路,"121.574752,31.353005"
水产路,"121.488247,31.381302"
江月路,"121.508603,31.084253"
春申路,"121.385818,31.098250"
双柏路,"121.421284,31.084148"
繁荣路,"121.570608,31.102384"
友谊西路,"121.427953,31.381296"
封浜,"121.297025,31.267496"
基隆路,"121.590806,31.350715"
刘行,"121.362376,31.357586"
诸光路,"121.293040,31.191678"
银都路,"121.390264,31.089345"
康新公路,"121.617199,31.130439"
顾唐路,"121.656465,31.266074"
联航路,"121.510594,31.073567"
宝杨路,"121.479574,31.395315"
富锦路,"121.424661,31.392260"
潘广路,"121.355845,31.364182"
沈梅路,"121.579696,31.091745"
周浦东,"121.606895,31.110038"
民雷路,"121.668125,31.268335"
蟠龙路,"121.278645,31.186328"
友谊路,"121.475924,31.404016"
沈杜公路,"121.512272,31.061427"
元江路,"121.432729,31.060885"
颛桥,"121.401868,31.067013"
铁力路,"121.461139,31.408120"
江杨北路,"121.439819,31.407858"
三鲁公路,"121.527389,31.056108"
曹路,"121.683046,31.271272"
罗南新村,"121.357470,31.388831"
下盐路,"121.586091,31.070981"
马陆,"121.276906,31.319675"
迪士尼,"121.667959,31.141263"
闵瑞路,"121.530323,31.047956"
永德路,"121.443340,31.039041"
徐盈路,"121.253976,31.178101"
鹤沙航城,"121.611239,31.077797"
北桥,"121.410054,31.045112"
浦航路,"121.530591,31.040993"
鹤立西路,"121.588887,31.055203"
徐泾北城,"121.241668,31.175518"
东城一路,"121.532093,31.030390"
紫竹高新区,"121.451006,31.023672"
汇臻路,"121.524558,31.025245"
剑川路,"121.416582,31.026483"
嘉定新城,"121.254294,31.330062"
泗泾,"121.260247,31.118272"
航头东,"121.617494,31.054919"
东川路,"121.419901,31.018197"
嘉松中路,"121.223916,31.164099"
航头,"121.597427,31.033615"
白银路,"121.245350,31.345359"
金平路,"121.410186,31.011282"
江川路,"121.423474,31.005428"
华宁路,"121.395255,31.007467"
上海赛车场,"121.226098,31.331898"
新场,"121.648980,31.045561"
昌吉东路,"121.200384,31.293620"
文井路,"121.380775,31.003597"
佘山,"121.229686,31.104097"
西渡,"121.432441,30.989350"
闵行开发区,"121.369712,31.000627"
赵巷,"121.192279,31.161247"
洞泾,"121.230473,31.084492"
嘉定西,"121.227855,31.377107"
