name,location
崔各庄,"116.492968,40.022201"
立水桥南,"116.414496,40.041956"
上清桥,"116.343524,40.034952"
北宫门,"116.277647,40.002373"
永泰庄,"116.354580,40.037728"
副中心,"116.703931,39.903186"
荣京东街,"116.513390,39.793132"
花庄,"116.695495,39.856722"
北苑,"116.434518,40.042997"
茶棚,"116.248100,39.982113"
高米店北,"116.330787,39.773547"
上地,"116.320193,40.033007"
政务中心,"116.717876,39.910198"
管庄路西口,"116.570732,39.976863"
宛平城,"116.230033,39.848410"
西小口,"116.351644,40.046873"
八角游乐园,"116.212684,39.907442"
瀛海,"116.448982,39.760713"
立水桥,"116.412350,40.053032"
清河营,"116.441977,40.051119"
管庄,"116.599002,39.909090"
安河桥北,"116.269956,40.012195"
马泉营,"116.503480,40.033721"
农大南路,"116.282272,40.021398"
常营,"116.599722,39.925696"
荣昌东街,"116.521737,39.782799"
政务中心东,"116.737166,39.910694"
高米店南,"116.331605,39.763489"
楼梓庄桥西,"116.581332,39.978571"
万安,"116.231977,39.984001"
楼梓庄,"116.592616,39.978517"
育新,"116.347328,40.060039"
天通苑南,"116.412684,40.066612"
枣园,"116.332204,39.753458"
园博园,"116.201643,39.861328"
草房,"116.615574,39.924477"
马连洼,"116.272520,40.032637"
八里桥,"116.618658,39.906121"
古城,"116.190337,39.907450"
天通苑东,"116.442154,40.068580"
同济南路,"116.539835,39.772900"
杨庄,"116.187004,39.927850"
植物园,"116.215722,39.993537"
霍营,"116.360286,40.071857"
经海路,"116.562245,39.783587"
大兴新城,"116.365522,39.735583"
高辛庄,"116.606860,39.980903"
清源路,"116.332513,39.742724"
孙河,"116.534700,40.045113"
曹各庄北,"116.600999,39.992208"
次渠南,"116.581357,39.795118"
张郭庄,"116.187193,39.858100"
次渠,"116.591502,39.803500"
亦庄火车站,"116.601913,39.812607"
香山,"116.204491,39.994056"
通州北苑,"116.637252,39.903864"
龙泽,"116.319429,40.070882"
天通苑北,"116.412888,40.083668"
回龙观东大街,"116.363025,40.081175"
稻田,"116.218840,39.794885"
物资学院路,"116.639316,39.926801"
黄村西大街,"116.332631,39.731769"
西北旺,"116.257923,40.048703"
果园,"116.646621,39.893329"
金安桥,"116.163129,39.923566"
平西府,"116.350425,40.090607"
黄村火车站,"116.332611,39.722966"
育知路,"116.326992,40.087863"
九棵树,"116.657533,39.890278"
通州北关,"116.661131,39.917962"
永丰南,"116.248154,40.065575"
国展,"116.555127,40.070030"
义和庄,"116.319079,39.712387"
梨园,"116.668720,39.883677"
通运门,"116.673284,39.910583"
四道桥,"116.134010,39.916030"
生命科学园,"116.294230,40.094790"
永丰,"116.238481,40.071868"
朱辛庄,"116.313698,40.104297"
临河里,"116.678811,39.875496"
未来科技城南,"116.467920,40.112789"
桥户营,"116.125809,39.912383"
花梨坎,"116.557593,40.084436"
栗园庄,"116.123254,39.895780"
上岸,"116.122225,39.905138"
北运河西,"116.688358,39.903024"
环球度假区,"116.679572,39.849148"
屯佃,"116.215850,40.068454"
篱笆房,"116.189486,39.760636"
小园,"116.114443,39.890465"
T2航站楼,"116.592808,40.079311"
未来科技城北,"116.469014,40.127820"
生物医药基地,"116.321662,39.686510"
北运河东,"116.707056,39.903268"
广阳城,"116.184985,39.747930"
稻香湖路,"116.188145,40.068936"
石厂,"116.100334,39.889378"
郝家府,"116.717826,39.903195"
巩华城,"116.293979,40.130900"
后沙峪,"116.564211,40.114127"
良乡大学城北,"116.183480,39.729906"
温阳路,"116.161361,40.068516"
东夏园,"116.733850,39.903147"
良乡大学城,"116.176541,39.723159"
良乡大学城西,"116.156282,39.723157"
北安河,"116.130428,40.068128"
良乡南关,"116.140804,39.723202"
南法信,"116.609535,40.128478"
沙河高教园,"116.280465,40.164666"
苏庄,"116.125306,39.723188"
石门,"116.641117,40.129802"
阎村东,"116.100817,39.729028"
顺义,"116.657023,40.129994"
